Country,Continent,OECD
TR,Asia,1
PL,Europe,1
KW,Asia,0
SA,Asia,0
CI,Africa,0
AE,Asia,0
GH,Africa,0
ET,Africa,0
AU,Oceania,1
MX,North America,1
JP,Asia,1
US,North America,1
DZ,Africa,0
KZ,Asia,0
MY,Asia,0
FR,Europe,1
JO,Asia,0
NL,Europe,1
KR,Asia,1
BE,Europe,1
CN,Asia,0
RO,Europe,0
IR,Asia,0
IL,Asia,0
TM,Asia,0
GR,Europe,1
NZ,Oceania,1
DE,Europe,1
IQ,Asia,0
PH,Asia,0
ML,Africa,0
TH,Asia,0
ES,Europe,1
GB,Europe,1
RS,Europe,0
IN,Asia,0
NO,Europe,1
NP,Asia,0
KG,Asia,0
ZA,Africa,0
CO,South America,1
IT,Europe,1
SK,Europe,1
CZ,Europe,1
HU,Europe,1
AR,South America,0
BG,Europe,0
CL,South America,1
CA,North America,1
RU,Europe,0
BO,South America,0
LK,Asia,0
GN,Europe,0
DK,Europe,1
BD,Asia,0
UA,Europe,0
TW,Asia,0
IE,Europe,1
TJ,Asia,0
PT,Europe,1
SE,Europe,1
AT,Europe,1
GT,North America,0
VN,Asia,0
FI,Europe,1
HK,Asia,0
PK,Asia,0
ID,Asia,0
AF,Asia,0
UG,Africa,0
LT,Europe,1
PE,South America,0
CY,Asia,0
MO,Asia,0
BH,Asia,0
XK,Asia,0
EC,South America,0
IS,Europe,1
HR,Europe,0
BR,South America,0
RE,Africa,0
CR,South America,0
PR,North America,0
SV,North America,0
BA,Europe,0
SG,Asia,1
MK,Europe,0
EE,Europe,1
UZ,Asia,0
GE,Europe,0
MN,Asia,0
LA,Asia,0
CW,South America,0
MM,Asia,0
CH,Europe,1
